gbifid,datasetkey,occurrence,kingdom,phylum,class,order,family,genus,species,infraspeci,taxonrank,scientific,countrycod,locality,publishing,decimallat,decimallon,coordinate,coordina_1,elevation,elevationa,depth,depthaccur,eventdate,day,month,year,taxonkey,specieskey,basisofrec,institutio,collection,catalognum,recordnumb,identified,license,rightshold,recordedby,typestatus,establishm,lastinterp,mediatype,issue,field_45
1499329703,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312693,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1971-07-31T01:00Z,31,7,1971,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329701,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312424,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.101939999999999,4.678240000000000,3769.000000000000000,,,,,,1966-08-21T01:00Z,21,8,1966,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329700,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312696,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1971-08-01T01:00Z,1,8,1971,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329695,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312714,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1972-07-17T01:00Z,17,7,1972,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329694,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312748,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1976-06-05T01:00Z,5,6,1976,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329690,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312721,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.101939999999999,4.678240000000000,3769.000000000000000,,,,,,1972-08-13T01:00Z,13,8,1972,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329685,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312431,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1967-08-20T01:00Z,20,8,1967,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329679,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312420,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.101939999999999,4.678240000000000,3769.000000000000000,,,,,,1966-08-14T01:00Z,14,8,1966,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329676,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312760,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1977-08-16T01:00Z,16,8,1977,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329673,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312564,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1969-06-06T01:00Z,6,6,1969,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329669,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312699,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1971-08-11T01:00Z,11,8,1971,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329658,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312708,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,50.962679999999999,4.958050000000000,3769.000000000000000,,,,,,1972-05-21T01:00Z,21,5,1972,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329645,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312927,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.195580000000000,4.395390000000000,3769.000000000000000,,,,,,1984-08-19T02:00Z,19,8,1984,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329592,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312754,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1976-08-20T01:00Z,20,8,1976,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329586,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:119458274,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,50.789270000000002,4.525140000000000,3769.000000000000000,,,,,,1965-08-10T01:00Z,10,8,1965,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499328956,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:132613723,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,50.839660000000002,4.029680000000000,3769.000000000000000,,,,,,1983-06-03T02:00Z,3,6,1983,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
