species;decimallat;decimallon
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;51.11305;3.464290000000000
Papilio machaon;51.05699;4.676610000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.88254;4.243860000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;50.95174;5.527130000000000
Papilio machaon;51.09234;5.249150000000000
Papilio machaon;51.41202;4.977180000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;51.27340;5.186290000000000
Papilio machaon;50.88396;4.101730000000000
Papilio machaon;50.83015;4.810480000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.92411;4.529540000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.15867;3.250250000000000
Papilio machaon;51.10873;4.107070000000000
Papilio machaon;51.09500;5.106450000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;50.74690;4.311130000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;51.22979;5.112600000000000
Papilio machaon;50.79897;3.248320000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.96606;4.744550000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.18735;4.967550000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.92957;4.031660000000000
Papilio machaon;50.81383;5.661650000000000
Papilio machaon;50.92216;4.671760000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.95174;5.527130000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;50.96146;5.029200000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.83966;4.029670000000000
Papilio machaon;50.79832;3.461160000000000
Papilio machaon;51.00248;5.244800000000000
Papilio machaon;50.92411;4.529540000000000
Papilio machaon;50.88678;3.746370000000000
Papilio machaon;51.15867;2.749740000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.20363;3.250490000000000
Papilio machaon;51.22979;5.112600000000000
Papilio machaon;51.32215;4.973310000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.92112;4.742870000000000
Papilio machaon;51.02400;3.106930000000000
Papilio machaon;50.79802;3.532110000000000
Papilio machaon;51.20376;2.821070000000000
Papilio machaon;50.90366;5.666770000000000
Papilio machaon;50.83512;4.455620000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;50.90366;5.666770000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.31965;5.116730000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;50.79802;3.532110000000000
Papilio machaon;50.92112;4.742870000000000
Papilio machaon;51.02339;3.392100000000000
Papilio machaon;51.10873;4.107070000000000
Papilio machaon;51.10873;4.107070000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;51.14687;4.679870000000000
Papilio machaon;50.96497;4.815720000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.12487;5.822430000000000
Papilio machaon;50.92112;4.742870000000000
Papilio machaon;50.83966;4.029670000000000
Papilio machaon;50.83966;4.029670000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.22125;5.541870000000000
Papilio machaon;51.42031;4.402220000000000
Papilio machaon;51.13443;5.394140000000000
Papilio machaon;50.79858;3.390220000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;51.13443;5.394140000000000
Papilio machaon;51.10873;4.107070000000000
Papilio machaon;51.06504;3.963310000000000
Papilio machaon;51.33833;3.323000000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;51.14976;4.465500000000000
Papilio machaon;51.13443;5.394140000000000
Papilio machaon;51.32215;4.973310000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;50.96997;4.459830000000000
Papilio machaon;51.02339;3.392100000000000
Papilio machaon;50.74690;4.311130000000000
Papilio machaon;51.41202;4.977180000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.41202;4.977180000000000
Papilio machaon;51.19470;4.466920000000000
Papilio machaon;51.05799;4.605300000000000
Papilio machaon;51.06809;3.463840000000000
Papilio machaon;51.14242;4.965640000000000
Papilio machaon;50.88176;4.314910000000000
Papilio machaon;50.88396;4.101730000000000
Papilio machaon;50.83326;4.597580000000000
Papilio machaon;51.04741;5.246970000000000
Papilio machaon;51.10193;4.678240000000000
Papilio machaon;50.95174;5.527130000000000
Papilio machaon;50.87721;4.670150000000000
Papilio machaon;51.05485;4.819230000000000
Papilio machaon;50.96497;4.815720000000000
Papilio machaon;51.24872;3.179090000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;50.96497;4.815720000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;50.92112;4.742870000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;51.05372;4.890530000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.22979;5.112600000000000
Papilio machaon;51.11057;3.892830000000000
Papilio machaon;51.09979;4.820990000000000
Papilio machaon;50.97904;3.106830000000000
Papilio machaon;50.84406;3.177540000000000
Papilio machaon;51.36942;4.831670000000000
Papilio machaon;51.15849;3.321740000000000
Papilio machaon;50.97904;3.106830000000000
Papilio machaon;51.22979;5.112600000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;51.13727;5.251330000000000
Papilio machaon;51.13443;5.394140000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.92112;4.742870000000000
Papilio machaon;51.19282;4.609980000000000
Papilio machaon;51.32334;4.901600000000000
Papilio machaon;51.19558;4.395390000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.18735;4.967550000000000
Papilio machaon;51.41202;4.977180000000000
Papilio machaon;51.13443;5.394140000000000
Papilio machaon;50.75271;3.602480000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;51.05485;4.819230000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.88911;3.106630000000000
Papilio machaon;51.15867;3.250250000000000
Papilio machaon;51.13443;5.394140000000000
Papilio machaon;51.13443;5.394140000000000
Papilio machaon;50.88396;4.101730000000000
Papilio machaon;50.96606;4.744550000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.93217;3.675940000000000
Papilio machaon;51.20376;2.821070000000000
Papilio machaon;50.79103;4.383310000000000
Papilio machaon;50.88093;4.385970000000000
Papilio machaon;50.83598;4.384640000000000
Papilio machaon;50.74841;4.169420000000000
Papilio machaon;50.74690;4.311130000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.20363;3.250490000000000
Papilio machaon;51.32215;4.973310000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;51.15880;3.178750000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.10193;4.678240000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;51.04001;5.603260000000000
Papilio machaon;51.32215;4.973310000000000
Papilio machaon;51.04741;5.246970000000000
Papilio machaon;51.04741;5.246970000000000
Papilio machaon;51.10193;4.678240000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.09866;4.892370000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.82786;4.952390000000000
Papilio machaon;51.09979;4.820990000000000
Papilio machaon;50.95326;5.456010000000000
Papilio machaon;51.06705;3.677910000000000
Papilio machaon;50.83966;4.029670000000000
Papilio machaon;51.15867;2.749740000000000
Papilio machaon;51.23461;4.826310000000000
Papilio machaon;50.79802;3.532110000000000
Papilio machaon;51.11305;3.464290000000000
Papilio machaon;50.78732;4.666950000000000
Papilio machaon;50.78732;4.666950000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;50.96497;4.815720000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.00639;5.031160000000000
Papilio machaon;51.19470;4.466920000000000
Papilio machaon;51.20376;3.178920000000000
Papilio machaon;50.83227;4.668550000000000
Papilio machaon;50.96497;4.815720000000000
Papilio machaon;51.18967;4.824540000000000
Papilio machaon;50.88916;3.035540000000000
Papilio machaon;51.31965;5.116730000000000
Papilio machaon;50.93217;3.675940000000000
Papilio machaon;51.45814;4.907200000000000
Papilio machaon;51.01883;4.104920000000000
Papilio machaon;50.97904;3.106830000000000
Papilio machaon;50.84406;3.177540000000000
Papilio machaon;50.87721;4.670150000000000
Papilio machaon;50.82786;4.952390000000000
